Date,result,location,Opp
2000-10-15,L,,Minnesota Vikings
2000-10-22,L,@,Philadelphia Eagles
2000-11-05,W,,Indianapolis Colts
2000-11-12,L,@,Buffalo Bills
2000-11-19,W,,Tampa Bay Buccaneers
2000-11-26,L,@,New York Jets
2000-12-03,L,,Green Bay Packers
2000-12-10,W,,New England Patriots
2000-12-17,L,@,San Francisco 49ers
2000-12-24,W,@,Detroit Lions
2001-09-09,L,@,Baltimore Ravens
2001-09-23,W,,Minnesota Vikings
2001-10-07,W,@,Atlanta Falcons
2001-10-14,W,,Arizona Cardinals
2001-10-21,W,@,Cincinnati Bengals
2001-10-28,W,,San Francisco 49ers
2001-11-04,W,,Cleveland Browns
2001-11-11,L,,Green Bay Packers
2001-11-18,W,@,Tampa Bay Buccaneers
2001-11-25,W,@,Minnesota Vikings
2001-12-02,W,,Detroit Lions
2001-12-09,L,@,Green Bay Packers
2001-12-16,W,,Tampa Bay Buccaneers
2001-12-23,W,@,Washington Redskins
2001-12-30,W,@,Detroit Lions
2001-01-06,W,,Jacksonville Jaguars
2002-09-08,W,,Minnesota Vikings
2002-09-15,W,@,Atlanta Falcons
2002-09-22,L,,New Orleans Saints
2002-09-29,L,@,Buffalo Bills
2002-10-07,L,,Green Bay Packers
2002-10-20,L,@,Detroit Lions
2002-10-27,L,@,Minnesota Vikings
2002-11-03,L,,Philadelphia Eagles
2002-11-10,L,,New England Patriots
2002-11-18,L,@,St. Louis Rams
2002-11-24,W,,Detroit Lions
2002-12-01,L,@,Green Bay Packers
2002-12-09,L,@,Miami Dolphins
2002-12-15,W,,New York Jets
2002-12-22,L,@,Carolina Panthers
2002-12-29,L,,Tampa Bay Buccaneers
2003-09-07,L,@,San Francisco 49ers
2003-09-14,L,@,Minnesota Vikings
2003-09-29,L,,Green Bay Packers
2003-10-05,W,,Oakland Raiders
2003-10-12,L,@,New Orleans Saints
2003-10-19,L,@,Seattle Seahawks
2003-10-26,W,,Detroit Lions
2003-11-02,W,,San Diego Chargers
2003-11-09,L,@,Detroit Lions
2003-11-16,L,,St. Louis Rams
2003-11-23,W,@,Denver Broncos
2003-11-30,W,,Arizona Cardinals
2003-12-07,L,@,Green Bay Packers
2003-12-14,W,,Minnesota Vikings
2003-12-21,W,,Washington Redskins
2003-12-28,L,@,Kansas City Chiefs
2004-09-12,L,,Detroit Lions
2004-09-19,W,@,Green Bay Packers
2004-09-26,L,@,Minnesota Vikings
2004-10-03,L,,Philadelphia Eagles
2004-10-17,L,,Washington Redskins
2004-10-24,L,@,Tampa Bay Buccaneers
2004-10-31,W,,San Francisco 49ers
2004-11-07,W,@,New York Giants
2004-11-14,W,@,Tennessee Titans
2004-11-21,L,,Indianapolis Colts
2004-11-25,L,@,Dallas Cowboys
2004-12-05,W,,Minnesota Vikings
2004-12-12,L,@,Jacksonville Jaguars
2004-12-19,L,,Houston Texans
2004-12-26,L,@,Detroit Lions
2004-01-02,L,,Green Bay Packers
2005-09-11,L,@,Washington Redskins
2005-09-18,W,,Detroit Lions
2005-09-25,L,,Cincinnati Bengals
2005-10-09,L,@,Cleveland Browns
2005-10-16,W,,Minnesota Vikings
2005-10-23,W,,Baltimore Ravens
2005-10-30,W,@,Detroit Lions
2005-11-06,W,@,New Orleans Saints
2005-11-13,W,,San Francisco 49ers
2005-11-20,W,,Carolina Panthers
2005-11-27,W,@,Tampa Bay Buccaneers
2005-12-04,W,,Green Bay Packers
2005-12-11,L,@,Pittsburgh Steelers
2005-12-18,W,,Atlanta Falcons
2005-12-25,W,@,Green Bay Packers
2005-01-01,L,@,Minnesota Vikings
2006-09-10,W,@,Green Bay Packers
2006-09-17,W,,Detroit Lions
2006-09-24,W,@,Minnesota Vikings
2006-10-01,W,,Seattle Seahawks
2006-10-08,W,,Buffalo Bills
